CONDITION,COND_AI,COND_GRADUATION,choiceA,QualityA,QualityB,Explanation,age,male,StartDate,EndDate,IPAddress,Duration
1,0,0,0,4,5,I felt that the doctor with fewer years in practice may be less burned out.,49,0,12/15/22 8:39,12/15/22 8:44,,301
1,0,0,1,6,4,The doctor has more years of experience is why I made this choice.,54,0,12/15/22 8:39,12/15/22 8:44,,332
1,0,0,0,4,4,"I feel like the doctor with 30+ years of experience would be more arrogant in their thought process and decision making, and probably not care as much about making the right choice. This is based on experiences I've had with doctors of different ages.",34,0,12/15/22 8:40,12/15/22 8:44,,247
1,0,0,1,6,4,Doctor A has more experience.,32,1,12/15/22 8:39,12/15/22 8:44,,307
1,0,0,0,5,6, ,42,1,12/15/22 8:37,12/15/22 8:45,,442
1,0,0,1,5,4,"With such limited info, I'd rather go with the physician who has more years in practice since he would have more experience with the test and would have had more opportunity to learn and receive feedback on how accurate he has been in the past.",41,1,12/15/22 8:39,12/15/22 8:45,,357
1,0,0,1,5,3,I chose the doctor with more experience since that doctor is likely to be better.,29,1,12/15/22 8:41,12/15/22 8:45,,256
1,0,0,1,5,5,I chose based on years of experience. I would feel more comfortable with a doctor who has been practicing for a long time and likely knows exactly what to look for.,64,0,12/15/22 8:40,12/15/22 8:45,,292
1,0,0,1,7,5,The 61-year-old doctor who has more years of experience than the younger doctor. I would trust him more to properly analyze my results.,33,1,12/15/22 8:39,12/15/22 8:45,,404
1,0,0,1,7,5,"I would choose the more experienced doctor. Experience is too often discounted today and matters a lot in terms of complex cases, identifying false positives and negatives, and generally having a trained mind when it comes to analysis.",42,1,12/15/22 8:41,12/15/22 8:46,,242
1,0,0,1,6,4,"Even though they are similar in terms of accuracy, and it is possible that a ""newer"" doctor could be more up to date on modern technology for healthcare, I would still want to use a doctor that has more experience in general when it comes to CVD. Tests like these are potentially highly interpretable, and it would make sense to use a doctor that has seen more CVD cases. There are tons of variables, tons of things that can affect CVD in general, and a doctor with more experience SHOULD be more capable and using all of these different aspects surrounding the healthcare as ""pieces of the puzzle"", and then ultimately provide the better care - because they are more adept in the field.",38,1,12/15/22 8:40,12/15/22 8:46,,357
1,0,0,0,6,5,"This doctor studied more recently, practiced these things more recently and probably is most aware of new technologies.",38,0,12/15/22 8:42,12/15/22 8:46,,221
1,0,0,1,6,4,"The doctor I chose had 25 more years of experience.  Presumably he is much better at this job than the younger, less experienced doctor.",41,1,12/15/22 8:42,12/15/22 8:46,,263
1,0,0,0,5,4,I choose this depends on the age and the experience.,26,1,12/15/22 8:39,12/15/22 8:46,,394
1,0,0,1,6,6,I chose the doctor who has more experience because I thought he may be more accurate or have seen more cases so he may give me a better diagnosis.,39,1,12/15/22 8:35,12/15/22 8:47,,695
1,0,0,0,5,5,"They are both correct 82-85% of the time, so it doesn't seem to matter. However, I believe the younger person can better learn from previous mistakes and improve that number than the older doctor.",36,0,12/15/22 8:41,12/15/22 8:47,,333
1,0,0,1,6,4,"I want a doctor who can supplement the test results with as much experience dealing with cardiovascular disease as possible, so I chose the one with the most experience.",44,0,12/15/22 8:43,12/15/22 8:47,,264
1,0,0,1,6,7,Because Doctor 1 age was 61 he have lot of practice to make a better service always believe in the doctor,29,0,12/15/22 8:38,12/15/22 8:47,,579
1,0,0,1,6,5,This doctor is much more experienced and that matter to me. I have had good experiences with experienced doctors.,45,1,12/15/22 8:42,12/15/22 8:47,,314
1,0,0,1,7,3,I chose the doctor with the most experience.,68,0,12/15/22 8:39,12/15/22 8:48,,544
1,0,0,1,7,5,they have more expierience so i would like to use them more than the other,44,1,12/15/22 8:44,12/15/22 8:48,,226
1,0,0,1,6,3,the person I chose has more experience overall.,71,1,12/15/22 8:44,12/15/22 8:48,,262
1,0,0,0,4,5,Sometimes doctors that have been in practice for a long time don't keep themselves updated on new medical journals and issues. I would prefer to go with someone with more up to date knowledge.,45,.,12/15/22 8:43,12/15/22 8:48,,271
1,0,0,1,6,4,this doctor has more experience and more training,39,0,12/15/22 8:40,12/15/22 8:48,,500
1,0,0,1,7,5,Doctor A has more than enough experience in this field and they are better placed to do a more refined diagnosis.,30,0,12/15/22 8:43,12/15/22 8:48,,313
1,0,0,1,4,4,I would prefer someone that has more experience in case my situation is strange there is a greater chance that they have seen and treated it before.,35,1,12/15/22 8:41,12/15/22 8:49,,464
1,0,0,1,6,5,Experience wins the day here for me. My sense is that over the course of 31 years this doctor has a better sense of nuance when it comes to making a diagnosis.,65,1,12/15/22 8:43,12/15/22 8:49,,369
1,0,0,0,6,6,The new doctor is probably more acquainted with genetic testing and novel methods and treatments than the likely archaic old doctor who might not be receptive to new methods.,26,1,12/15/22 8:45,12/15/22 8:50,,310
1,0,0,1,5,4,The doctor has more experience in the field and may have more knowledge about CVD.,33,0,12/15/22 8:47,12/15/22 8:50,,196
1,0,0,1,5,4,He has more years of experience as a doctor,54,0,12/15/22 8:40,12/15/22 8:50,,652
1,0,0,1,5,4,The doctor who is 61 has more experience.,50,1,12/15/22 8:43,12/15/22 8:51,,493
1,0,0,1,6,5,I believe the doctor with more experience will make me feel more confident in the data that is given to me based on my test.,37,1,12/15/22 8:45,12/15/22 8:51,,339
1,0,0,0,6,5,I would prepare this choice.,33,0,12/15/22 8:40,12/15/22 8:52,,718
1,0,0,1,6,5,I tend to choose doctors who are more experienced and who have been in their field for a longer period of time.,41,0,12/15/22 8:49,12/15/22 8:52,,169
1,0,0,1,6,3,Doctor A has many more years of experience than Doctor B. Evaluations are made using prior cases to determine the likelihood of CVD. I would want the doctor with the most experience to make my evaluation.,60,1,12/15/22 8:46,12/15/22 8:53,,400
1,0,0,1,6,6,The doctor has much more experience,41,1,12/15/22 8:49,12/15/22 8:53,,220
1,0,0,0,2,6,I think the older doctor will be too rigid and not diagonose as well as a younger doctor who will make more effort to diagnose,35,.,12/15/22 8:43,12/15/22 8:53,,626
1,0,0,1,6,4,He has many more years of experience in the medical field. He is older and probably wiser.,45,0,12/15/22 8:50,12/15/22 8:55,,257
1,0,0,1,6,4,"Honestly, I would use either since they have the same success rate, but since I had to chose one, I selected the doctor with the most overall experience.",57,0,12/15/22 8:45,12/15/22 8:55,,562
1,0,0,1,4,4,"Being an older person myself, I just felt like choosing the older doctor.  I feel they are both competent.",67,0,12/15/22 8:49,12/15/22 8:55,,383
1,0,0,1,6,4,Older and more years of experience,43,1,12/15/22 8:51,12/15/22 8:57,,339
1,0,0,0,4,5,I have cardio arterial disease and we treat the condition with a very low fat/oil diet (Esselstyn) and as little statins as I can get away with to keep ldl below 80. We think the newer treatments to halt and reverse CAD/CVD are preferred hence choosing the younger Dr.  Some things progress one funeral at a time.,63,1,12/15/22 8:51,12/15/22 8:59,,476
1,0,0,1,6,5,I wanted the doctor with more experience.,50,0,12/15/22 8:55,12/15/22 8:59,,233
1,0,0,0,4,4,It was just my gut feeling. I don't have any other way to really know who would be the better choice.,40,0,12/15/22 8:54,12/15/22 8:59,,350
1,0,0,1,6,5,The doctor I work picked has 30 years of experience and I trust their judgement more.,42,0,12/15/22 8:52,12/15/22 9:00,,440
1,0,0,1,6,5,More experience is usually better.,60,1,12/15/22 8:56,12/15/22 9:00,,207
1,0,0,0,4,4,random pick,34,1,12/15/22 8:54,12/15/22 9:01,,401
1,0,0,0,5,5,I feel like he's younger and more trained in newer technology and advances in the industry. He's a breath of fresh air.,36,0,12/15/22 8:56,12/15/22 9:01,,271
1,0,0,0,3,6,"I chose the younger doctor from personal experiences, and from hearing stories from other parents and friends. I believe that younger doctors are more likely to agree about more with me, and that older doctors are stuck in there ways. Like herbal medicine, etc",31,1,12/15/22 8:56,12/15/22 9:02,,324
1,0,0,1,4,4,I think I would be more comfortable with the older more experienced doctor looking at my results since they have a longer time in the medical field.,33,0,12/15/22 8:58,12/15/22 9:02,,225
1,0,0,0,4,6,Since DNA is a newer technology I would rather have the doctor that was more recently educated.,45,1,12/15/22 8:44,12/15/22 9:06,,1278
1,0,0,1,5,4,I'm assuming that the doctor with more years of experience will have more real world interactions to draw upon when performing their analysis.,39,1,12/15/22 9:00,12/15/22 9:06,,344
1,0,0,1,7,5,I chose the Dr who has the most experience because I feel like they can offer the best care.,32,0,12/15/22 9:02,12/15/22 9:06,,216
1,0,0,1,6,2,"The doctor I chose has more experience. Therefore, I'd trust him to be more accurate.",47,1,12/15/22 9:00,12/15/22 9:06,,332
1,0,0,1,7,5,I would choose this doctor because they have more years of experience in the medical field so I think they might do a better job despite the statistics.,39,1,12/15/22 9:01,12/15/22 9:07,,327
1,0,0,1,6,5,i would rather take the person who has more experience and knowledge,25,1,12/15/22 9:05,12/15/22 9:08,,171
1,0,0,1,7,6,I would choose the doctor with more years of experience to read my test results.,55,0,12/15/22 9:03,12/15/22 9:09,,339
1,0,0,1,6,6,Because I think the older doctor has more experience and can use that experience to maybe make a better judgement.,69,1,12/15/22 9:04,12/15/22 9:11,,422
1,0,0,1,5,4,Hopefully has more experience over lifetime than the younger doctor.,58,1,12/15/22 9:06,12/15/22 9:14,,455
1,0,0,1,6,3,The longer the doctor has been in practice the more he/she should know about all of the relevant factors involved in diagnosis and treatment.,52,0,12/15/22 9:10,12/15/22 9:14,,243
1,0,0,0,4,6,I wanted the doctor that was younger and in my mind that makes him more likely to work harder,27,1,12/15/22 9:07,12/15/22 9:14,,420
1,0,0,1,6,3,The doctor has been working for 31 year so he has much experience compared to the other doctor.,50,1,12/15/22 9:08,12/15/22 9:15,,399
1,0,0,1,5,3,He's older so he's had more experience. He has seen it far times more than the other doctor.,34,0,12/15/22 9:08,12/15/22 9:15,,438
1,0,0,1,6,4,This Dr. has a lot of experience and being I am 60 I would feel much more comfortable with the Dr I chose.,60,0,12/15/22 9:11,12/15/22 9:17,,341
1,0,0,0,3,5,I think the younger person would be more update on newer happenings in medicine.,73,1,12/15/22 9:13,12/15/22 9:20,,426
1,0,0,1,7,4,"The age means this doctor has more extperience in the field and has more clinical situations, diagonoses under their field of expertise and so can probably have a higher chance of a good diagnosis.",48,1,12/15/22 9:13,12/15/22 9:21,,463
1,0,0,1,5,3,"More experience, and I don't trust millennials.",38,1,12/15/22 9:14,12/15/22 9:22,,433
1,0,0,1,7,4,I chose Doctor A due to the years of practice,22,0,12/15/22 9:18,12/15/22 9:23,,281
1,0,0,0,4,5,I chose the younger doctor because although he has less experience he still has ample amount of experience and being younger he is more apt to be cutting edge and able to pick things out of the results the other might not see.,51,0,12/15/22 9:20,12/15/22 9:25,,289
1,0,0,1,7,2,Doctor A has more practice than Doctor B.,29,1,12/15/22 9:17,12/15/22 9:25,,483
1,0,0,0,6,6,Someone with less experience will mean they have just finished medical school and be more open to new treatments and diagnosis',45,1,12/15/22 9:21,12/15/22 9:26,,266
1,0,0,1,7,4,My doctor has years more experience!,59,1,12/15/22 9:16,12/15/22 9:28,,718
1,0,0,0,4,5,I figure the younger doctor embraces new technology more than the older doctor. The young doctor is more open to changes in scientific advancements.,53,1,12/15/22 9:25,12/15/22 9:33,,490
1,0,0,1,5,5,Chose the doctor with more experience,68,1,12/15/22 9:38,12/15/22 9:42,,275
1,0,0,0,4,4,he is less burned out.  still has some enthusiasm left.,50,1,12/15/22 8:44,12/15/22 8:49,,273
1,0,0,1,6,4,Doctor A has more experience. Experience means a lot in the medical field. It means Doctor A has seen an array of patients and diseases.,27,0,12/15/22 8:39,12/15/22 8:51,,700
1,0,0,0,6,6,The younger doctor is not as far removed from medical school and training as an intern which indicates to me that he would be better at interpreting the CVD test results.,68,0,12/15/22 8:53,12/15/22 9:01,,477
1,0,0,0,4,5,I think that this doctor may be more progressive in his thinking and might have a more forward thinking point of view.,58,0,12/15/22 8:46,12/15/22 9:04,,1073
1,0,0,1,7,4,The Doctor A has more experiences in the clinical practice.,46,1,12/15/22 9:15,12/15/22 9:21,,353
2,1,0,1,6,4,"This doctor has more experience overall, so I'd go with his expertise.",40,1,12/15/22 8:36,12/15/22 8:39,,221
2,1,0,1,6,4,I'm sure that they're both good doctors but I would want the doctor with more experience.,22,0,12/15/22 8:35,12/15/22 8:40,,287
2,1,0,1,5,4,More experienced,47,1,12/15/22 8:35,12/15/22 8:40,,291
2,1,0,1,6,4,I believe the doctor's age would give him more experience.,61,0,12/15/22 8:36,12/15/22 8:41,,275
2,1,0,0,3,5,Younger doctors tend to take their patients more seriously. Older doctors think they are always right and don't want to do any extra work.,36,0,12/15/22 8:36,12/15/22 8:41,,301
2,1,0,0,6,7,I would rather work with a doctor that is going to be around a while,50,1,12/15/22 8:36,12/15/22 8:41,,314
2,1,0,1,5,3,I'd like to think with 31 years of experience this doctor will have a better scope of what to do with my results.,32,0,12/15/22 8:38,12/15/22 8:41,,204
2,1,0,1,5,3,This doctor has more experience.,27,1,12/15/22 8:36,12/15/22 8:41,,314
2,1,0,1,6,5,I feel like they're still at an age where their cognitive abilities aren't really in decline and they have decades of experience. It just feels safer.,44,0,12/15/22 8:36,12/15/22 8:41,,342
2,1,0,0,4,5,I feel like the combination of age and experience was the best choice,33,1,12/15/22 8:37,12/15/22 8:42,,298
2,1,0,0,4,4,"I think younger doctors are more open to new knowledge and see things in a bigger pictures.  older doctors tend to be more rigid in their diagnosis and less ""up to date"" with info.",40,.,12/15/22 8:38,12/15/22 8:42,,256
2,1,0,0,7,7,i just like the younger doctors but if I had to have the older one I would.,40,0,12/15/22 8:38,12/15/22 8:42,,257
2,1,0,1,5,4,"The doctor has a lot more experience backing up their decision making; presumably if they're working with an AI assistant they're up to date on modern technologies, and aren't stuck in their ways, which would be my main concern with an older doctor",35,0,12/15/22 8:37,12/15/22 8:42,,289
2,1,0,1,7,4,Based on experience level,27,1,12/15/22 8:37,12/15/22 8:42,,294
2,1,0,1,7,5,He has more years of experience hence can make an accurate prediction,30,1,12/15/22 8:37,12/15/22 8:42,,305
2,1,0,1,7,5,I went with the more experienced person.,39,1,12/15/22 8:37,12/15/22 8:43,,351
2,1,0,1,5,5,I think experience is important when it comes to a picking a reliable doctor.,36,0,12/15/22 8:38,12/15/22 8:43,,275
2,1,0,0,5,4,I believe the younger doctor is more likely to understand the workings of the AI recommendation.,29,1,12/15/22 8:37,12/15/22 8:43,,347
2,1,0,1,5,5,I am more comfortable with older doctors.,50,1,12/15/22 8:37,12/15/22 8:43,,375
2,1,0,1,6,3,"Since both doctors use AI, I would want the additional benefit of Doctor A's 31 years of experience in the field rather than the expertise of the younger doctor.",54,0,12/15/22 8:40,12/15/22 8:43,,233
2,1,0,1,6,3,This doctor had more experience so I felt more comfortable given their age and experience.,31,0,12/15/22 8:38,12/15/22 8:44,,306
2,1,0,1,7,5,I would want the older doctor who has been in practice a long time in conjunction with the AI newer technology.,46,0,12/15/22 8:36,12/15/22 8:44,,478
2,1,0,1,6,5,I would choose the older doctor with more experience simply because they have been doing it longer and likely have more wisdom in their field.,28,1,12/15/22 8:40,12/15/22 8:44,,273
2,1,0,1,6,4,"I would prefer the doctor that has more experience and is older in most cases to the doctor that has less experienced and is younger, even in terms of AI assisted technology as I feel the older doctor would have better experience and instincts to help them make the right diagnosis.",24,1,12/15/22 8:40,12/15/22 8:44,,227
2,1,0,1,5,4,I prefer the one with a longer service record,40,1,12/15/22 8:39,12/15/22 8:44,,296
2,1,0,1,5,4,"The older doctor has more experience, likely including experience diagnosing CVD risk without the help of AIs.",37,0,12/15/22 8:38,12/15/22 8:44,,364
2,1,0,1,5,4,I think that the more experienced doctor will be better at combining wisdom with a/i.,70,0,12/15/22 8:40,12/15/22 8:45,,305
2,1,0,0,5,6,Younger people might know more about tech/AI - have more holistic practice,33,0,12/15/22 8:36,12/15/22 8:45,,532
2,1,0,1,6,4,I prefer a doctor that has more experience. Simple as that.,37,1,12/15/22 8:40,12/15/22 8:45,,294
2,1,0,1,6,2,Older doctors went through college before grade inflation came to be.  I would never have a young doctor.,46,1,12/15/22 8:41,12/15/22 8:46,,277
2,1,0,1,6,6,I have selected this based on doctor's experience because experience is very important,33,1,12/15/22 8:39,12/15/22 8:46,,403
2,1,0,1,5,4,The doctor's extra years of experience should enable him to do a better job than the younger doctor.,66,1,12/15/22 8:42,12/15/22 8:46,,248
2,1,0,1,6,6,i think he is accurate and can be used,43,1,12/15/22 8:36,12/15/22 8:46,,599
2,1,0,1,3,3,The doctor has lot more experience than the other.,43,0,12/15/22 8:36,12/15/22 8:46,,626
2,1,0,0,4,4,I think the training of the younger doctor is going to be more up to date based on length of time since medical school.,44,0,12/15/22 8:39,12/15/22 8:47,,454
2,1,0,1,6,4,I chose the older doctor because he had more years of experience.,50,0,12/15/22 8:43,12/15/22 8:47,,248
2,1,0,1,5,4,I would rather have someone who has more experience.,33,0,12/15/22 8:43,12/15/22 8:47,,259
2,1,0,1,6,5,i feel like with all the rest are pretty much the same and the results are typically the same but his experiences is a big factor for me,34,1,12/15/22 8:43,12/15/22 8:47,,254
2,1,0,1,5,4,I'd totally take the guy with many more years experience when it's a health related matter.,43,1,12/15/22 8:41,12/15/22 8:47,,365
2,1,0,1,5,5,"i would want the dr with more experience, than the newer dr.",42,.,12/15/22 8:42,12/15/22 8:47,,304
2,1,0,1,4,6,I prefer the Doctor who has a lot more experience,44,0,12/15/22 8:41,12/15/22 8:47,,404
2,1,0,0,5,6,The choice is the among the beauty and surfaces.,33,1,12/15/22 8:41,12/15/22 8:48,,407
2,1,0,1,5,4,I would prefer the older physician with more years of experience since this is a very important test for diagnosis.,64,0,12/15/22 8:42,12/15/22 8:48,,365
2,1,0,1,7,4,"i feel comfortable with an experimented doctor, it makes me feel sure of my diagnosis and not terrified because an error",39,1,12/15/22 8:41,12/15/22 8:48,,403
2,1,0,1,4,4,I would like the doctor with the higher number of years of experience. I believe this doctor had more time in the field and has therefore been able to refine their medical judgement skills.,37,0,12/15/22 8:44,12/15/22 8:48,,256
2,1,0,1,5,4,"It only let me pick between the two, but there really isn't enough information about the doctors to know. I went with the doctor with more experience because that's all I can do at a face value option. The more experienced doctor may have done the job longer, but he may be stuck in his ways and not opento new theories where the newer doctor may be. I need more info",41,0,12/15/22 8:39,12/15/22 8:48,,573
2,1,0,1,7,4,"I chose the option I did because the doctor has 31 years of experience, which I think would provide more high quality data that the other doctor who didn't have as much experience.  I think that would make the AI and the doctor I chose to have a higher quality of data.",29,1,12/15/22 8:37,12/15/22 8:48,,698
2,1,0,1,6,4,I wanted someone with more experience.,43,1,12/15/22 8:44,12/15/22 8:49,,317
2,1,0,1,6,5,I think that the additional years of practice can help make their assignments more accurate.,33,1,12/15/22 8:45,12/15/22 8:49,,231
2,1,0,1,5,3,Years in practice means years experience means more heirs more lessons learned I am more trusting of the doctor with more experience,46,0,12/15/22 8:42,12/15/22 8:49,,390
2,1,0,1,6,5,If I had the choice I would most likely pick the doctor with the most experience. I would question my decision because the doctor with the least experience does have more up to date training.,46,0,12/15/22 8:45,12/15/22 8:49,,272
2,1,0,0,6,6,"Has been in school recently, younger. Likely to be",23,0,12/15/22 8:40,12/15/22 8:49,,572
2,1,0,1,6,5,"I made this decision based on the fact this doctor had more experience, therefore, assuming he/she would have a more accurate outcome.",40,0,12/15/22 8:38,12/15/22 8:50,,713
2,1,0,0,6,7,My choice was best knowledge and experience.,22,0,12/15/22 8:39,12/15/22 8:50,,659
2,1,0,1,6,4,"I trust the doctor with more experience more, that's all.",30,0,12/15/22 8:45,12/15/22 8:50,,288
2,1,0,1,6,5,This is correct choice information.,40,0,12/15/22 8:40,12/15/22 8:51,,680
2,1,0,1,5,5,"I chose one doctor because I had to. In fact, I would would feel comfortable with either doctor treating me. If you put a gun to my head, I'd pick the older gentleman because he's had more experience, but in this case, I don't think it would matter.",71,1,12/15/22 8:40,12/15/22 8:51,,663
2,1,0,1,4,4,I want the person with more experience and hopefully he gives me a truthful diagnosis.,37,1,12/15/22 8:47,12/15/22 8:52,,334
2,1,0,1,6,4,"The choice was tough. I went with the more experienced practitioner. At the same time I wondered about how well they kept up to date on medicine. I would have also liked to know more about the younger physicians training. Although less ""experienced,"" they may be more up to date on issues with CVD.",67,1,12/15/22 8:39,12/15/22 8:53,,869
2,1,0,1,6,5,Has more experience.,64,1,12/15/22 8:50,12/15/22 8:54,,240
2,1,0,1,6,5,I feel like this doctor has more experience and is older and if you  combined his opinion with artificial intelligence then you would have a better chance for accurate work.,42,0,12/15/22 8:49,12/15/22 8:55,,355
2,1,0,1,6,4,"I prefer a doctor with more experience. There are things that AI will not be able to catch, but an experienced physician will.",48,1,12/15/22 8:48,12/15/22 8:55,,426
2,1,0,1,6,4,Doctor A has more years in practice and has more experience. They have seen more patients over the years. I would trust their judgement more.,44,0,12/15/22 8:50,12/15/22 8:55,,306
2,1,0,1,6,4,I chose them for the years of experience they have.,32,0,12/15/22 8:50,12/15/22 8:56,,383
2,1,0,1,5,4,The older doctor has more experience while still having access to AI as the other.,59,1,12/15/22 8:50,12/15/22 8:58,,433
2,1,0,0,5,6,I feel like a younger doctor might not be as set in their ways and more likely to be aware of modern tech or maybe be better able to read and understand it.,49,1,12/15/22 8:52,12/15/22 8:58,,349
2,1,0,0,4,5,I chose the younger doctor because sometimes (not always) the younger doctor is more up to date and familiar with newer technology and newer scientific findings. I feel like many times older doctors have an older way of looking at things.,40,0,12/15/22 8:52,12/15/22 8:58,,387
2,1,0,1,5,4,"I want the doctor with more experience in the field. Doctors practice medicine, so the more practice the better.",40,1,12/15/22 8:55,12/15/22 8:59,,263
2,1,0,0,6,6,The younger doctor is more likely to have knowledge of newer technology and developments.,29,0,12/15/22 8:56,12/15/22 8:59,,224
2,1,0,1,1,1,I would chose the older one.,50,0,12/15/22 8:57,12/15/22 9:02,,306
2,1,0,1,6,6,I prefer doctors with more experience,44,0,12/15/22 8:49,12/15/22 9:02,,797
2,1,0,1,6,5,"I want the doctor with more years of experience, all else being equal. He would have a better perspective on the results of the testing.",41,1,12/15/22 8:58,12/15/22 9:03,,248
2,1,0,1,6,5,"I would prefer a doctor who is older and has more experience in the field. While the AI algorithm has a high accuracy rate, a more experienced doctor reviewing its findings could likely more easily identify when it has misinterpreted the testing information.",30,0,12/15/22 8:58,12/15/22 9:03,,293
2,1,0,1,6,4,"The doctor that I selected has a more extensive history in the profession, which would incline me to believe that they may have enhanced perspective or heightened wisdom regarding any observations that they make.",32,1,12/15/22 8:48,12/15/22 9:03,,901
2,1,0,1,6,5, I have choosen th doctor who had more experience in the field. He has more knowledge with the topic.,46,1,12/15/22 8:53,12/15/22 9:03,,614
2,1,0,1,6,4,"I would prefer the doctor with more years of experience, vs. the younger one with less years.",62,0,12/15/22 8:59,12/15/22 9:03,,265
2,1,0,1,5,5,I like the doctor with the most experience.  I feel like it could be a better diagnosis.,39,1,12/15/22 8:43,12/15/22 8:50,,432
2,1,0,1,6,4,"I went with Doctor A because he has been doing it for more years, is older, and would probably have a better understanding of the situation at hand.",28,1,12/15/22 9:02,12/15/22 9:06,,247
2,1,0,1,6,5,I want the doctor with more experience,36,0,12/15/22 9:02,12/15/22 9:06,,232
2,1,0,1,5,4,"Doctor A has more experience, and experience does weigh in to the results",54,1,12/15/22 9:01,12/15/22 9:07,,360
2,1,0,1,6,5,I figure that a doctor with more experience has been exposed to many different types of samples and results which would make them better at detecting anomalies thus leading to better outcomes of diagnosis.,46,1,12/15/22 9:03,12/15/22 9:08,,265
2,1,0,1,6,5,I trust the more experience doctor,47,.,12/15/22 8:59,12/15/22 9:09,,569
2,1,0,1,6,4,I went with the one that has the most experience as I trust their judgment is more refined and correct.,34,0,12/15/22 9:05,12/15/22 9:09,,256
2,1,0,0,4,4,This doctor is closer to my age so I feel like it is more likely they would understand things specific to me.  I felt this outweighed the difference in experience,33,1,12/15/22 9:06,12/15/22 9:11,,350
2,1,0,1,6,6,"There really isn't a reason to pick one doctor over the other, but you made me pick one. Thus, I picked the one with more experience. But since they're AI supported, they're really equal.",33,0,12/15/22 9:08,12/15/22 9:12,,274
2,1,0,1,7,4,This doctor has many more years of experience to rely upon when making a decision.  The other doctor only has 6 years.,56,0,12/15/22 9:06,12/15/22 9:13,,423
2,1,0,1,4,4,"The doctor has more experience. With no other imformation, I would choose that one.",38,1,12/15/22 9:08,12/15/22 9:14,,340
2,1,0,1,5,4,It seems like I would want as much experience as possible,37,1,12/15/22 9:09,12/15/22 9:14,,315
2,1,0,1,7,4,I would feel more comfortable with the more experienced doctor.,45,1,12/15/22 9:10,12/15/22 9:15,,272
